Which of these is the most important step to prevent spreading germs in the kitchen?,Wiping down the counters with a dry cloth.,Washing your hands with soap and warm water for at least 20 seconds.,Rinsing your hands with cold water.,Washing dishes in cold water.,Washing your hands with soap and warm water for at least 20 seconds.
What is the best way to clean fresh fruits and vegetables?,Wipe them with a dry cloth.,Soap them in a bowl of soapy water.,"Rinse them under cool, running water, then consume.","No need to wash fruits and vegetables, they’re good to eat without cleaning them!","Rinse them under cool, running water, then consume."
"If food has a bad smell or looks moldy, what should you do with it?",Cook it for a long time to kill all the germs that may be on it.,Cut off the moldy part and the rest it good to eat!,Give it to the dog.,Throw it away immediately.,Throw it away immediately.
How should you store raw meat in the fridge?,"On the top shelf, above all other foods.",In a sealed container at the bottom shelf.,Anywhere you have free space in your fridge.,In an open bowl next to your vegetables.,In a sealed container at the bottom shelf.
How should you thaw meat safely?,Place meat in sealed bag and place it in an ice cold water bath and wait for the ice to melt.,Leave the meat outside.,Use boiling hot water to quickly defrost it.,Leave it on the kitchen counter at room temperature for the ice to melt.,Place meat in sealed bag and place it in an ice cold water bath and wait for the ice to melt.
Why is it important to refrigerate leftovers within two hours of them being open?,To preserve the taste of the food.,Because the food will taste better at colder temperatures.,To save space in the kitchen.,To slow down the growth of harmful bacteria.,To slow down the growth of harmful bacteria.
What is a common foodborne illness caused by bacteria often found in raw poultry and eggs?,E. coli.,Salmonella.,Listeria.,The flu.,Salmonella.
How long can food safely be left out at room temperature before it should be refrigerated or thrown out?,1 hour.,2 hours.,3 hours.,4 hours.,2 hours.
What is the minimum internal temperature for cooking a whole chicken to ensure it is safe to eat?,60°C (140°F).,74°C (165°F).,82°C (180°F).,100°C (212°F).,74°C (165°F).
Why is it important to wash fruit and vegetables before peeling the skin of them?,To prevent transferring bacteria from the surface to the inside of the food via the knife.,Unwashed produce is more likely to cause bacterial infections.,To remove pesticides and waxes from the skin of the food.,Because the skin of the produce is not safe to touch.,To prevent transferring bacteria from the surface to the inside of the food via the knife.
Which of these is the most effective to prevent cross-contamination between raw meat and fresh vegetables?,Using a knife that has been wiped with a paper towel.,Washing the vegetables after cutting the raw meat.,Using separate cutting boards for each type of food item.,"Cutting the vegetables first, then the meat on the same cutting board.",Using separate cutting boards for each type of food item.
What is the “Danger Zone” temperature range in which bacteria can grow rapidly in food products?,Between 40°C and 140°C.,Between 5°C and 100°C.,Between 90°C and 250°C.,There is no temperature range at which bacteria can grow in foods.,Between 40°C and 140°C.
What is the main purpose of a "best before" date on a food product?,It indicates the date the product was manufactured.,It is a safety recommendation after which the food is unsafe to eat.,"It's a suggestion for peak quality, not a safety date.",It is a legal requirement for all food products.,"It's a suggestion for peak quality, not a safety date."
What is the difference between cleaning and sanitizing?,"Cleaning uses soap, and sanitizing uses hot water.","Cleaning removes dirt and food, while sanitizing reduces bacteria to safe levels.","There is no difference; the terms mean the same thing.","Cleaning is for floors, and sanitizing is for countertops.","Cleaning removes dirt and food, while sanitizing reduces bacteria to safe levels."
What is the safest way to taste food while cooking?,Lick the spoon.,Use a clean spoon each time you want to taste.,Dip the spoon back into the pot after tasting.,Use your finger to taste.,Use a clean spoon each time you want to taste.
What should you do if you have a cut or sore on your hand while preparing food?,Cover it with a bandage and wear a disposable glove.,Avoid preparing food until it is healed.,Wash your hands thoroughly and proceed with food preparation.,Cover it with a bandage only.,Cover it with a bandage and wear a disposable glove.
How often should you clean your kitchen sponges or dishcloths?,Once a week.,After each use.,Once a month.,Every day.,After each use.
What is the proper way to wash your hands to ensure they are clean?,Rinse with water only.,Wash with soap and water for at least 20 seconds.,Use hand sanitizer only.,Wipe with a dry towel.,Wash with soap and water for at least 20 seconds.
Why is it important to use a food thermometer when cooking meat?,To ensure the meat is cooked to a safe internal temperature.,To check if the meat is tender.,To measure the cooking time.,To see if the meat is juicy.,To ensure the meat is cooked to a safe internal temperature.
What is "cross-contamination"?,When you cook different foods in the same pot.,"When harmful bacteria from one food, especially raw meat, are transferred to another food.",When you combine different meats in the same dish.,When you wash different vegetables at the same time.,"When harmful bacteria from one food, especially raw meat, are transferred to another food."
